Common Name,Category,Main Habitat,Avg Weight,Max Length,Max Speed,Special Abilities,effect
Wild Clary,Omnivore,Grassland,5 g,60 cm,0,TBD,
Marsh Woundwort,Omnivore,Wetland,30 g,150 cm,0,TBD,
Meadowsweet,Omnivore,Wetland,20 g,120 cm,0,TBD,
Wild Angelica,Omnivore,Wetland,50 g,200 cm,0,TBD,
Yellow Rattle,Omnivore,Grassland,5 g,30 cm,0,TBD,
Wild Thyme,Producer,Grassland,5 g,20 cm,0,TBD,
Common Hemp-nettle,Producer,Grassland,5 g,60 cm,0,TBD,
Eyebright,Omnivore,Grassland,5 g,40 cm,0,TBD,
Wild Garlic (Crow Garlic),Omnivore,Woodland,10 g,60 cm,0,TBD,
Meadow Vetchling,Omnivore,Grassland,5 g,80 cm,0,TBD,
Harebell,Herbivore,Grassland,5 g,40 cm,0,TBD,
Common Knapweed,Producer,Grassland,5 g,60 cm,0,TBD,
Betony,Omnivore,Grassland,5 g,50 cm,0,TBD,
Wild Basil,Producer,Grassland,5 g,50 cm,0,TBD,
Dogwood,Omnivore,Woodland,30 g,300 cm,0,TBD,
Wild Marjoram,Omnivore,Grassland,5 g,50 cm,0,TBD,
Greater Knapweed,Producer,Grassland,5 g,60 cm,0,TBD,
Wild Carrot,Producer,Grassland,10 g,150 cm,0,TBD,
Wild Strawberry,Producer,Grassland,5 g,30 cm,0,TBD,
Primrose,Omnivore,Grassland,5 g,25 cm,0,TBD,
Water Mint,Producer,Wetland,10 g,100 cm,0,TBD,
Marsh Cinquefoil,Omnivore,Wetland,20 g,80 cm,0,TBD,
Herb Robert,Producer,Woodland,5 g,30 cm,0,TBD,
Common Mallow,Omnivore,Grassland,5 g,80 cm,0,TBD,
Wood Sorrel,Producer,Woodland,5 g,30 cm,0,TBD,
Lady’s Bedstraw,Omnivore,Grassland,5 g,80 cm,0,TBD,
Bugle,Omnivore,Woodland,5 g,30 cm,0,TBD,
Wild Pansy (Heartsease),Omnivore,Grassland,5 g,15 cm,0,TBD,
Wood Anemone,Omnivore,Woodland,5 g,20 cm,0,TBD,
Cornflower,Omnivore,Grassland,5 g,60 cm,0,TBD,
Red Campion,Producer,Woodland,5 g,80 cm,0,TBD,
Hogweed,Producer,Grassland,10 g,300 cm,0,TBD,
Common Ragwort,Producer,Grassland,5 g,80 cm,0,TBD,
Common Dog Violet,Producer,Woodland,5 g,30 cm,0,TBD,
Cuckooflower,Omnivore,Wetland,5 g,60 cm,0,TBD,
Corn Marigold,Producer,Grassland,5 g,60 cm,0,TBD,
Bird’s-foot Trefoil,Omnivore,Grassland,5 g,30 cm,0,TBD,
Blackthorn,Omnivore,Woodland,50 g,500 cm,0,TBD,
Field Scabious,Producer,Grassland,5 g,80 cm,0,TBD,
Lesser Celandine,Omnivore,Woodland,5 g,20 cm,0,TBD,
Yarrow,Omnivore,Grassland,5 g,60 cm,0,TBD,
Wild Garlic (Ramsons),Omnivore,Woodland,10 g,50 cm,0,TBD,
Silver Birch,Producer,Woodland,500 kg,2500 cm,0,TBD,
Common Hawthorn,Producer,Woodland,200 kg,500 cm,0,TBD,
Meadow Buttercup,Producer,Grassland,5 g,30 cm,0,TBD,
Elder,Producer,Woodland,150 kg,1000 cm,0,TBD,
Common Poppy,Producer,Grassland,5 g,80 cm,0,TBD,
Foxglove,Carnivore,Woodland,5 g,150 cm,0,TBD,
Daisy,Producer,Grassland,5 g,30 cm,0,TBD,
Bluebell,Producer,Woodland,5 g,30 cm,0,TBD,
Stinging Nettle,Producer,Grassland,5 g,100 cm,0,TBD,
English Oak,Producer,Woodland,6000 kg,4000 cm,0,TBD,
Dandelion,Omnivore,Grassland,5 g,40 cm,0,TBD,
red squirrel,Herbivore,Woodland,400 g,25 cm,25,Agile climber; stores food,
European rabbit,Herbivore,Grassland,2 kg,40 cm,40,Fast burrower; prolific breeder,
red fox,Carnivore,Grassland,6 kg,90 cm,50,Nocturnal hunter; adaptable,
European hare,Herbivore,Grassland,5 kg,60 cm,70,Fast runner; camouflage,
European badger,Carnivore,Woodland,10 kg,90 cm,10,Strong digger; nocturnal,
roe deer,Herbivore,Woodland,25 kg,120 cm,50,Fast runner; camouflage,
European mole,Omnivore,Grassland,80 g,20 cm,5,Excellent digger; blind but sensitive,
European otter,Carnivore,Freshwater,10 kg,100 cm,25,Excellent swimmer; hunts fish,
European water vole,Herbivore,Wetland,250 g,20 cm,5,Good swimmer; burrower,
hazel dormouse,Herbivore,Woodland,20 g,15 cm,10,Nocturnal; hibernates,
wood mouse,Herbivore,Woodland,25 g,10 cm,15,Agile climber; nocturnal,
Eurasian beaver,Herbivore,Freshwater,25 kg,120 cm,5,Builds dams; strong swimmer,
brown rat,Omnivore,Urban,300 g,20 cm,15,Highly adaptable; nocturnal,
lesser horseshoe bat,Herbivore,Woodland,10 g,5 cm,25,Nocturnal; echolocation,
brown long-eared bat,Omnivore,Woodland,15 g,6 cm,25,Nocturnal; agile flyer,
Reeves's muntjac,Omnivore,Woodland,18 kg,80 cm,25,Alert and agile; small deer,
red deer,Herbivore,Woodland,200 kg,180 cm,50,Large herbivore; fast runner,
noctule bat,Omnivore,Woodland,40 g,10 cm,30,Nocturnal; powerful flyer,
pygmy shrew,Omnivore,Grassland,5 g,5 cm,15,High metabolism; fast mover,
grey seal,Carnivore,Marine,200 kg,250 cm,25,Excellent swimmer; hunts fish,
stoat,Carnivore,Grassland,0.5 kg,30 cm,30,Agile hunter; flexible body,
Natterer's bat,Omnivore,Woodland,15 g,6 cm,25,Nocturnal; insect hunter,
harbour porpoise,Carnivore,Marine,60 kg,200 cm,40,Fast swimmer; echolocation,
field vole,Herbivore,Grassland,25 g,12 cm,10,Burrower; quick breeder,
bank vole,Herbivore,Grassland,25 g,12 cm,10,Good climber; stores food,
common shrew,Omnivore,Grassland,10 g,7 cm,15,High metabolism; insect hunter,
harbour seal,Carnivore,Marine,120 kg,250 cm,25,Excellent swimmer; hunts fish,
mouse-eared bats,Omnivore,Woodland,15 g,6 cm,25,Nocturnal; echolocation,
American mink,Carnivore,Freshwater,1 kg,60 cm,25,Swims well; hunts fish,
fallow deer,Herbivore,Woodland,100 kg,140 cm,50,Alert; fast runner,
weasel,Carnivore,Grassland,0.2 kg,20 cm,30,Agile hunter; small prey specialist,
greater horseshoe bat,Herbivore,Woodland,25 g,8 cm,25,Nocturnal; echolocation,
bottlenose dolphin,Carnivore,Marine,250 kg,300 cm,40,Highly intelligent; fast swimmer,
mountain hare,Herbivore,Upland,5 kg,60 cm,70,Fast runner; camouflaged in snow,
pine marten,Carnivore,Woodland,2 kg,50 cm,25,Arboreal hunter; nocturnal,
European polecat,Carnivore,Woodland,1.5 kg,50 cm,25,Nocturnal hunter; agile,
serotine bat,Omnivore,Woodland,25 g,6 cm,25,Nocturnal; insect hunter,
Leislers bat,Omnivore,Woodland,15 g,6 cm,25,Nocturnal; fast flier,
yellow-necked mouse,Herbivore,Woodland,25 g,10 cm,15,Nocturnal; agile climber,
harvest mouse,Herbivore,Grassland,5 g,6 cm,15,Builds nests in grass; agile,
Eurasian water shrew,Omnivore,Freshwater,15 g,7 cm,20,Good swimmer; insectivore,
Chinese water deer,Herbivore,Wetland,20 kg,70 cm,50,Fast runner; large tusks for defense,
house mouse,Herbivore,Urban,20 g,9 cm,15,Highly adaptable; prolific breeder,
whiskered Brandts bat,Omnivore,Woodland,15 g,6 cm,25,Nocturnal; agile flier,
whiskered bat,Omnivore,Woodland,15 g,6 cm,25,Nocturnal; agile flier,
minke whale,Carnivore,Marine,9000 kg,1000 cm,40,Fast swimmer; echolocation,
common dolphin,Carnivore,Marine,150 kg,250 cm,40,Highly social; fast swimmer,
barbastelle bat,Omnivore,Woodland,15 g,6 cm,25,Nocturnal; agile flier,
sika deer,Herbivore,Woodland,70 kg,120 cm,50,Agile; seasonal breeder,
coypu,Omnivore,Freshwater,7 kg,60 cm,10,Excellent swimmer; burrows,
Nathusius pipistrelle,Omnivore,Woodland,10 g,5 cm,25,Migratory; nocturnal insect hunter,
domestic goat,Herbivore,Grassland,50 kg,100 cm,25,Adaptable feeder; agile climber,
Rissos dolphin,Carnivore,Marine,300 kg,350 cm,40,Fast swimmer; echolocation,
wild boar,Omnivore,Woodland,90 kg,150 cm,25,Strong; omnivorous,
domestic cat,Carnivore,Urban,5 kg,50 cm,40,Stealth hunter; agile,
Brandts bat,Omnivore,Woodland,15 g,6 cm,25,Nocturnal; agile flier,
wild horse,Herbivore,Grassland,400 kg,150 cm,60,Fast runner; herd social behavior,
shrews,Omnivore,Grassland,10 g,6 cm,25,High metabolism; insect hunter,
lesser white-toothed shrew,Omnivore,Grassland,5 g,6 cm,25,High metabolism; insect hunter,
white-beaked dolphin,Carnivore,Marine,300 kg,250 cm,40,Fast swimmer; echolocation,
domestic ferret,Carnivore,Urban,1 kg,40 cm,30,Stealth hunter; agile,
Bechsteins bat,Omnivore,Woodland,15 g,6 cm,25,Nocturnal; agile flier,
black rat,Omnivore,Urban,300 g,20 cm,20,Highly adaptable; nocturnal,
Irish hare,Herbivore,Grassland,5 kg,60 cm,70,Fast runner; camouflaged,
humpback whale,Carnivore,Marine,30000 kg,1500 cm,40,Acrobatic swimmer; echolocation,
greater white-toothed shrew,Omnivore,Grassland,10 g,6 cm,25,High metabolism; insect hunter,
common vole,Herbivore,Grassland,25 g,12 cm,15,Fast breeder; burrows,
European hedgehog,Omnivore,Woodland,1 kg,30 cm,15,Defensive spines; nocturnal,
soprano pipistrelle bat,Omnivore,Woodland,5 g,4 cm,25,Nocturnal; agile flier,
common pipistrelle bat,Omnivore,Woodland,5 g,4 cm,25,Nocturnal; agile flier,
